Domande chatbot Template - Foglio1
Domande;Risposte
Quanti sono i canti dell'Inferno?;La Commedia si compone di tre “cantiche”, Inferno, Purgatorio e Paradiso. Ogni cantica comprende trentatré canti che, sommati al canto iniziale con cui si apre l’opera e che funge da proemio, saranno in totale cento, un numero simbolo di completezza, essendo una potenza del numero dieci che nella cabala è il numero della perfezione. 
come è strutturato l'inferno dantesco;"Ecco lo schema dell’Inferno della Commedia:  

Gerusalemme
Antinferno: ignavi
Acheronte e Limbo (I° cerchio)
II° - V° cerchio: lussuriosi, golosi, avari e prodighi, iracondi e accidiosi (Fiume Stige)
Mura della Città di Dite
VI° cerchio: eretici
VII° cerchio: violenti (divisi in tre gironi) fiume Flegetonte
VIII° cerchio: fraudolenti (dieci Bolge)
IX° cerchio: traditori, fiume congelato Cocito
Lucifero al centro della Terra
"
Come vengono punite le anime Infernali?;"La legge del contrappasso presente nell'Inferno e, più in generale, nella Divina Commedia di Dante ha dei precedenti nella letteratura classica latina e in quella biblica. Già Seneca ne aveva fatto uso nelle sue opere ma con Dante questa legge raggiunge la perfezione. L’anima dannata è punita con una pena contraria o simile al peccato commesso. Un esempio: le anime dei suicidi sono trasformate in alberi infastiditi da animali rabbiosi. I suicidi hanno trattato il loro corpo come un vegetale, come qualcosa da buttare e non come qualcosa di sacro a Dio: meritano allora di essere delle piante, di non avere più una forma corporea. Dopo il Giudizio Universale, quando ogni anima si potrà ricongiungere al corpo sepolto che risorge, i suicidi non potranno rientrarne in possesso e getteranno il corpo sulle fronde degli alberi.
Ogni peccato è punito in questa maniera ed è stimolante la ricerca del significato di ogni contrappasso che possiamo trovare in qu esta cantica.  "
Recitami il canto X;"Ora sen va per un secreto calle,
tra ’l muro de la terra e li martìri,
lo mio maestro, e io dopo le spalle. 3
«O virtù somma, che per li empi giri
mi volvi», cominciai, «com’a te piace,
parlami, e sodisfammi a’ miei disiri. 6
La gente che per li sepolcri giace
potrebbesi veder? già son levati
tutt’i coperchi, e nessun guardia face». 9
E quelli a me: «Tutti saran serrati
quando di Iosafàt qui torneranno
coi corpi che là sù hanno lasciati. 12
Suo cimitero da questa parte hanno
con Epicuro tutti suoi seguaci,
che l’anima col corpo morta fanno. 15
Però a la dimanda che mi faci
quinc’entro satisfatto sarà tosto,
e al disio ancor che tu mi taci». 18
E io: «Buon duca, non tegno riposto
a te mio cuor se non per dicer poco,
e tu m’hai non pur mo a ciò disposto». 21
«O Tosco che per la città del foco
vivo ten vai così parlando onesto,
piacciati di restare in questo loco. 24
La tua loquela ti fa manifesto
di quella nobil patria natio
a la qual forse fui troppo molesto». 27
Subitamente questo suono uscìo
d’una de l’arche; però m’accostai,
temendo, un poco più al duca mio. 30
Ed el mi disse: «Volgiti! Che fai?
Vedi là Farinata che s’è dritto:
da la cintola in sù tutto ’l vedrai». 33
Io avea già il mio viso nel suo fitto;
ed el s’ergea col petto e con la fronte
com’avesse l’inferno a gran dispitto. 36
E l’animose man del duca e pronte
mi pinser tra le sepulture a lui,
dicendo: «Le parole tue sien conte». 39
Com’io al piè de la sua tomba fui,
guardommi un poco, e poi, quasi sdegnoso,
mi dimandò: «Chi fuor li maggior tui?». 42
Io ch’era d’ubidir disideroso,
non gliel celai, ma tutto gliel’apersi;
ond’ei levò le ciglia un poco in suso; 45
poi disse: «Fieramente furo avversi
a me e a miei primi e a mia parte,
sì che per due fiate li dispersi». 48
«S’ei fur cacciati, ei tornar d’ogne parte»,
rispuos’io lui, «l’una e l’altra fiata;
ma i vostri non appreser ben quell’arte». 51
Allor surse a la vista scoperchiata
un’ombra, lungo questa, infino al mento:
credo che s’era in ginocchie levata. 54
Dintorno mi guardò, come talento
avesse di veder s’altri era meco;
e poi che ’l sospecciar fu tutto spento, 57
piangendo disse: «Se per questo cieco
carcere vai per altezza d’ingegno,
mio figlio ov’è? e perché non è teco?». 60
E io a lui: «Da me stesso non vegno:
colui ch’attende là, per qui mi mena
forse cui Guido vostro ebbe a disdegno». 63
Le sue parole e ’l modo de la pena
m’avean di costui già letto il nome;
però fu la risposta così piena. 66
Di subito drizzato gridò: «Come?
dicesti ""elli ebbe""? non viv’elli ancora?
non fiere li occhi suoi lo dolce lume?». 69
Quando s’accorse d’alcuna dimora
ch’io facea dinanzi a la risposta,
supin ricadde e più non parve fora. 72
Ma quell’altro magnanimo, a cui posta
restato m’era, non mutò aspetto,
né mosse collo, né piegò sua costa: 75
e sé continuando al primo detto,
«S’elli han quell’arte», disse, «male appresa,
ciò mi tormenta più che questo letto. 78
Ma non cinquanta volte fia raccesa
la faccia de la donna che qui regge,
che tu saprai quanto quell’arte pesa. 81
E se tu mai nel dolce mondo regge,
dimmi: perché quel popolo è sì empio
incontr’a’ miei in ciascuna sua legge?». 84
Ond’io a lui: «Lo strazio e ’l grande scempio
che fece l’Arbia colorata in rosso,
tal orazion fa far nel nostro tempio». 87
Poi ch’ebbe sospirando il capo mosso,
«A ciò non fu’ io sol», disse, «né certo
sanza cagion con li altri sarei mosso. 90
Ma fu’ io solo, là dove sofferto
fu per ciascun di tòrre via Fiorenza,
colui che la difesi a viso aperto». 93
«Deh, se riposi mai vostra semenza»,
prega’ io lui, «solvetemi quel nodo
che qui ha ’nviluppata mia sentenza. 96
El par che voi veggiate, se ben odo,
dinanzi quel che ’l tempo seco adduce,
e nel presente tenete altro modo». 99
«Noi veggiam, come quei c’ha mala luce,
le cose», disse, «che ne son lontano;
cotanto ancor ne splende il sommo duce. 102
Quando s’appressano o son, tutto è vano
nostro intelletto; e s’altri non ci apporta,
nulla sapem di vostro stato umano. 105
Però comprender puoi che tutta morta
fia nostra conoscenza da quel punto
che del futuro fia chiusa la porta». 108
Allor, come di mia colpa compunto,
dissi: «Or direte dunque a quel caduto
che ’l suo nato è co’vivi ancor congiunto; 111
e s’i’ fui, dianzi, a la risposta muto,
fate i saper che ’l fei perché pensava
già ne l’error che m’avete soluto». 114
E già ’l maestro mio mi richiamava;
per ch’i’ pregai lo spirto più avaccio
che mi dicesse chi con lu’ istava. 117
Dissemi: «Qui con più di mille giaccio:
qua dentro è ’l secondo Federico,
e ’l Cardinale; e de li altri mi taccio». 120
Indi s’ascose; e io inver’ l’antico
poeta volsi i passi, ripensando
a quel parlar che mi parea nemico. 123
Elli si mosse; e poi, così andando,
mi disse: «Perché se’ tu sì smarrito?».
E io li sodisfeci al suo dimando. 126
«La mente tua conservi quel ch’udito
hai contra te», mi comandò quel saggio.
«E ora attendi qui», e drizzò ’l dito: 129
«quando sarai dinanzi al dolce raggio
di quella il cui bell’occhio tutto vede,
da lei saprai di tua vita il viaggio». 132
Appresso mosse a man sinistra il piede:
lasciammo il muro e gimmo inver’ lo mezzo
per un sentier ch’a una valle fiede,
che ’nfin là sù facea spiacer suo lezzo. 136"
Quali son i personaggi principali dell’inferno;"Re David, Giacobbe, Rachele, Adamo(liberati da Cristo dopo la Resurrezione).
Grandi spiriti dell'antichità
Omero, Orazio,
Ovidio, Lucano,
Elettra, Ettore,
Enea, Cesare,
Camilla, Pantasilea,
Re Latino, Lavinia,
Bruto, Tarquinio il Superbo, Lucrezia,
Giulia, Marzia,
Cornelia, Saladino,
Aristotele, Socrate,
Platone, Democrito,
Diogene di Sinope (o forse Diogene di Babilonia), Anassagora,
Talete, Empedocle,
Eraclito, Zenone (identità incerta),
Dioscoride, Orfeo,
Cicerone, Lino,
Seneca, Euclide,
Tolomeo, Ippocrate,
Avicenna, Galeno,
Averroè,
Virgilio"
da cosa deriva il termine inferno;Il termine “inferno” deriva dal latino infernum, quindi da inferus (infer) che richiama in maniera esplicita il concetto del “sotterraneo”, da mettere in relazione al sanscrito adhara, diffusosi in ambito indeuropeo con il suffisso ndhero , “sotto”, di cui si conservano evidenti tracce nelle lingua inglese (under) e nella lingua tedesca (unter). L’idea dell’inferno si è sviluppata nella maggior parte delle culture precristiane, cristiane e non cristiane. Di solito, come già detto, è indicato come un mondo oscuro e sotterraneo, associato alle viscere della terra, mentre il paradiso è collocato nei cieli, come simbolo di ascesi e di libertà spirituale.
che metrica segue la divina commedia;"Per quanto riguarda la metrica un particolare tipo di strofa caratterizza la Commedia e prende appunto il nome di “terzina dantesca”.
Questa prevede gruppi di
endecasillabi incatenati tre a tre con rime concatenate, per uno schema ABABCBCDC...
Le rime hanno un ruolo fondamentale: è attraverso le rime che la lingua dell’Inferno raggiunge i picchi poetici ed espressivi più alti. Si arriva ad avere una grande musicalità oppure una grande asprezza resa attraverso rime difficili come ad esempio l’alternanza di desinenze -azzi, -icchi, - isma, -ozza, -uffa."
8)  cosa sono le mura di dite?;ll quinto cerchio è separato dal sesto dalle mura della città di Dite (abbreviazione latina con cui si indicava il Dio degli Inferi Plutone)
come è nato l'inferno dantesco;Quando Lucifero, originariamente uno dei migliori angeli, si ribellò a Dio, venne fatto precipitare dal Paradiso, luogo situato oltre il sistema di rotazione geocentrico. Il demone precipitò in corrispondenza dell’emisfero australe: inorridite dal contatto con l’essere demoniaco, le terre emerse si ritrassero, raccogliendosi completamente nell'emisfero boreale e lasciando l’emisfero australe completamente sommerso dalle acque[2]. In questo sconvolgimento geologico, una porzione di terra, in corrispondenza del punto in cui sarebbe stata fondata Gerusalemme (sebbene nell'Apocalisse di Giovanni venga descritto che la battaglia tra i diavoli e angeli e la caduta del Drago dell' Apocalisse alias Lucifero, fossero accadute ad Armageddon, cioè sulle colline di Megiddo, e quindi 90 km da Gerusalemme), venne spinta oltre il centro della Terra, dando origine alla voragine infernale, ed emergendo nell'emisfero australe a formare la montagna del Purgatorio, unico punto non sommerso dalle acque. Lucifero è quindi conficcato nel centro della Terra, nel punto più lontano da Dio, immerso fino al busto nel lago sotterraneo di Cocito, il quale è perennemente congelato a causa del vento gelido prodotto dal continuo movimento delle sue sei ali. Dal centro della Terra, a partire dai piedi di Lucifero, inizia uno stretto passaggio naturale, detto Burella, che conduce all’altro emisfero, direttamente alla Montagna del Purgatorio
quali sono i 7 peccati capitali;I sette vizi capitali, noti anche come peccati capitali, sono un raggruppamento e una classificazione dei vizi nell'ambito degli insegnamenti cristiani[1]. Sebbene non siano direttamente menzionati nella Bibbia, esistono dei paralleli con le sette cose che Dio detesta nel Libro dei Proverbi. I comportamenti o le abitudini sono classificati in questa categoria se danno direttamente origine ad altre immoralità[2]. Secondo l'elenco standard, i sette vizi capitali sono la superbia, l'avarizia, l'ira, l'invidia, la lussuria, la gola e l'accidia[2] e possono essere catalogati in parallelo alle virtù alle quali si oppongono[3], cioè le tre virtù teologali e le quattro virtù cardinali[4].
